,model_name,case,balanced_accuracy,f1,geometric_mean,jaccard,roc_auc,fit_time,predict_time
0,SVC,negative,0.3454704055028584,0.6797548198867422,0.666718543703705,0.5174206970921055,0.6727352027514293,317.9565294265747,51.39934387207031
1,Ridge,negative,0.29799605827278347,0.6544312190145565,0.6459295013781388,0.4881964582420493,0.6489980291363917,4.753258609771729,0.0371158123016357
2,LDA,negative,0.2946579068145806,0.6533218543392214,0.6439956504871475,0.4870980661227927,0.6473289534072901,34.39628624916077,0.0451195240020751
3,LogReg,negative,0.2913845070186078,0.6512077022024059,0.6427216262656791,0.4846476051983801,0.6456922535093039,10.175856637954713,0.0463204860687255
4,SGD,negative,0.29027066985670386,0.6501305442796151,0.6409843790522768,0.48368538322125393,0.6451353349283521,19.638569784164428,0.0386482238769531
5,Dummy,negative,0.0,0.37559895962006995,0.0,0.2896270863596798,0.5,0.0033997535705566,0.0007998943328857
6,Ridge,neutral,0.4829400553974906,0.7682872967340363,0.7396243876388069,0.6350055939110522,0.7414700276987453,7.69631986618042,0.0386424541473388
7,SGD,neutral,0.4805157351014738,0.7613085897214034,0.7392786277601916,0.6251927230816434,0.740257867550737,18.74966025352478,0.0430310726165771
8,LDA,neutral,0.48106000395964443,0.767020190088051,0.7389080594744605,0.6332576290372022,0.7405300019798222,50.44171304702759,0.0366732120513916
9,LogReg,neutral,0.4713519356117164,0.7706391432420693,0.7331436816678811,0.6386325844888922,0.7356759678058582,15.453208827972412,0.0444463729858398
10,SVC,neutral,0.4248245742480596,0.7916645822983168,0.6918256365754155,0.6722119395949506,0.7124122871240299,448.6614756584168,43.39207358360291
11,Dummy,neutral,0.0,0.31011343916639644,0.0,0.25524990233445194,0.5,0.0004000186920166,0.0007989406585693
12,SVC,ternary,0.3137319677432108,0.6072421882675826,0.48651664191097554,0.45234424910016174,0.6569919918188929,788.2352037906646,65.94250631332397
13,Dummy,ternary,0.0,0.09821178405685849,0.0,0.06199597107892112,0.5,0.0031254291534423,0.0
14,LogReg,ternary,0.32842559661743465,0.5713306255197373,0.5450030508652499,0.4059764804836131,0.6603464561005083,26.589613676071167,0.2926663875579834
15,SGD,ternary,0.3335570752603002,0.5653888922899141,0.5475143263049251,0.39936088763836264,0.6627704846717242,23.97680583000183,0.0382447242736816
16,Ridge,ternary,0.3345883172463172,0.5695661761830397,0.5484287327035313,0.4038468339680893,0.6633969140278333,8.140964889526368,0.0443977832794189
17,LDA,ternary,0.3301648529513828,0.5680015333668228,0.5481783412053202,0.40203865264525007,0.6610640022120631,54.95874261856079,0.0527294158935546
18,LogReg+SVC,ternary_negneu,0.3200313870266442,0.584814953173605,0.5136681259290266,0.4250683556222513,0.6609280963993778,333.4097382545471,51.44379024505615
19,Ridge+SVC,ternary_negneu,0.323894787452114,0.5840006585288843,0.5121632481296159,0.42423898610426464,0.6624595691929998,325.65284929275515,51.43798632621765
20,LDA+SVC,ternary_negneu,0.3228004802115748,0.5829845586248633,0.5114183603182603,0.4231694528538479,0.6619331820373848,368.3982424736023,51.4360170841217
21,SGD+SVC,ternary_negneu,0.32274665721716966,0.5790686405202656,0.5092779212620391,0.4188543423719914,0.6614796090473759,336.7061896800995,51.44237494468689
22,SVC+Dummy,ternary_negneu,0.21060093117557374,0.5361733219040754,0.0,0.4083551372510346,0.6072082501559775,448.6648754119873,43.392873477935794
23,LogReg+Dummy,ternary_negneu,0.22965957598299194,0.5258902263353609,0.0,0.39523625865581863,0.6158221565662235,15.45660858154297,0.0452462673187255
24,LogReg+Ridge,ternary_negneu,0.31828024305156033,0.5746291475452114,0.5227888453803875,0.412363280159603,0.6580164876828726,20.20646743774414,0.0815621852874755
25,SGD+LogReg,ternary_negneu,0.3168972463036487,0.5673337962539735,0.514413023905404,0.40525311508965906,0.6567885306643924,28.925516891479493,0.0893515586853027
26,SGD+Dummy,ternary_negneu,0.23342881274772287,0.5206458375548332,0.0,0.38921399270969587,0.6175494356056689,18.753060007095332,0.0438309669494628
27,Dummy+SVC,ternary_negneu,0.040826061082923706,0.2344683319332162,0.0,0.1681746188602799,0.5269881716468543,317.9569294452667,51.40014281272888
28,Dummy+LDA,ternary_negneu,0.03604409369720624,0.2265180290228222,0.0,0.1584227072496147,0.523429334640848,34.396686267852786,0.0459184646606445
29,Dummy+Ridge,ternary_negneu,0.03658496764661654,0.2263000330183257,0.0,0.1581084717575564,0.5237310939121261,4.753658628463746,0.037914752960205
30,Dummy+LogReg,ternary_negneu,0.033670705684357746,0.2248479096556954,0.0,0.156684531378777,0.5221880411425263,10.176256656646729,0.0471194267272949
31,Dummy+SGD,ternary_negneu,0.03180652106555275,0.22230707647778955,0.0,0.15409584134534837,0.5210442297859432,19.638969802856444,0.0394471645355224
32,Ridge+Dummy,ternary_negneu,0.23535356451199735,0.5256994589584651,0.0,0.39491264900057205,0.6186537381881545,7.699719619750977,0.0394423484802246
33,LDA+Dummy,ternary_negneu,0.23447775475361202,0.5248489341896719,0.0,0.3939533457314438,0.618229206162937,50.44511280059815,0.0374731063842773
34,LDA+LogReg,ternary_negneu,0.3160200593397683,0.5704810361607511,0.5153203944861893,0.4086266452931214,0.6565690989623195,60.6175696849823,0.0829936981201172
35,LDA+LDA,ternary_negneu,0.31860273834914804,0.5736614394190414,0.5158094719279326,0.4118434957287501,0.6577777367075347,84.83799929618836,0.0817927360534667
36,SVC+Ridge,ternary_negneu,0.2981356122177927,0.5811806913000409,0.5216500803160691,0.4202366143087586,0.6509566125810375,453.41473426818845,43.429189395904544
37,Ridge+Ridge,ternary_negneu,0.32200337475044566,0.5743223948776031,0.5207062086938055,0.41216661870589244,0.6594298499370217,12.449578475952148,0.0757582664489746
38,LogReg+SGD,ternary_negneu,0.31450673282628105,0.5701337810173868,0.5205206854440891,0.4078534640401876,0.6559414650067245,35.09177861213684,0.0830945968627929
39,LDA+Ridge,ternary_negneu,0.32055488443074787,0.5732592574018891,0.5194688144511557,0.4111001370519376,0.6587380782329801,55.19497165679932,0.0737890243530273
40,LogReg+LDA,ternary_negneu,0.31621508011933613,0.5749027994887793,0.519411013731202,0.41295659627124587,0.6570018964307752,49.84949507713318,0.089565896987915
41,SGD+Ridge,ternary_negneu,0.321212505483759,0.5694926176920132,0.519081546974849,0.4070721847305057,0.6589627540856229,23.502918863296507,0.0801468849182129
42,Ridge+SGD,ternary_negneu,0.3181981821696171,0.5693285894399251,0.518885474039753,0.40715038095495715,0.6574140843428239,27.33488965034485,0.0772906780242919
43,SGD+LDA,ternary_negneu,0.31914421972182905,0.5696472654157245,0.5156685983486488,0.40754593464230304,0.6579612762623628,53.14594650268555,0.0881505966186523
44,SVC+LDA,ternary_negneu,0.2962457263213161,0.5818800159929913,0.5187472895355657,0.4212946165846595,0.6499900858114369,483.0577619075775,43.43719310760498
45,LogReg+LogReg,ternary_negneu,0.3140562719238094,0.5727595662115437,0.5182286317613848,0.4108398884456529,0.6559185725911685,25.629065465927127,0.0907668590545654
46,SVC+LogReg,ternary_negneu,0.29378630089322844,0.5790663281396026,0.5179964799460798,0.418307560221714,0.6487444309923049,458.8373322963714,43.43839406967163
47,Dummy+Dummy,ternary_negneu,0.0,0.20480949277389704,0.0,0.1485432028833165,0.5,0.0037997722625732,0.001598834991455
48,Ridge+LDA,ternary_negneu,0.3200104283577775,0.5746816752365521,0.5170675676793954,0.41286404886376465,0.658444236659514,42.092606115341184,0.083761978149414
49,SVC+SVC,ternary_negneu,0.3081978373095978,0.5989436917856473,0.5168638517715132,0.44121628884422537,0.6575168190524169,766.6180050849914,94.7914174556732
50,Ridge+LogReg,ternary_negneu,0.31742763055879697,0.5716200760989185,0.5164151135529356,0.40977989942987836,0.6572396554124912,17.872176504135133,0.0849629402160644
51,SGD+SGD,ternary_negneu,0.3173867891406442,0.5648442140419353,0.5162290152374738,0.40251969947704297,0.6569013994532599,38.38823003768921,0.0816792964935302
52,SVC+SGD,ternary_negneu,0.292852853443368,0.5759461902289857,0.5186808057839307,0.41482577619384225,0.648043316019983,468.3000454425812,43.43072180747986
53,LDA+SGD,ternary_negneu,0.31708332883543144,0.5684192928021725,0.5179363035880294,0.4062221207003767,0.6568972184180956,70.08028283119202,0.0753214359283447
