,model_name,case,geometric_mean,f1,balanced_accuracy,fit_time,predict_time
0,SVC,negative,0.666718543703705,0.6797548198867422,0.6727352027514291,317.9565294265747,51.39934387207031
1,Ridge,negative,0.6459295013781388,0.6544312190145565,0.6489980291363917,4.753258609771729,0.03711581230163574
2,LDA,negative,0.6439956504871475,0.6533218543392214,0.6473289534072902,34.39628624916077,0.045119524002075195
3,LogReg,negative,0.6427216262656791,0.6512077022024059,0.6456922535093039,10.175856637954713,0.04632048606872559
4,SGD,negative,0.6409843790522768,0.6501305442796151,0.6451353349283521,19.638569784164428,0.038648223876953124
5,Dummy,negative,0.0,0.37559895962006995,0.5,0.0033997535705566407,0.0007998943328857422
6,Ridge,neutral,0.7396243876388069,0.7682872967340363,0.7414700276987453,7.69631986618042,0.03864245414733887
7,SGD,neutral,0.7392786277601916,0.7613085897214034,0.740257867550737,18.74966025352478,0.04303107261657715
8,LDA,neutral,0.7389080594744605,0.767020190088051,0.7405300019798222,50.44171304702759,0.0366732120513916
9,LogReg,neutral,0.7331436816678811,0.7706391432420693,0.7356759678058584,15.453208827972412,0.044446372985839845
10,SVC,neutral,0.6918256365754155,0.7916645822983168,0.7124122871240297,448.66147565841675,43.39207358360291
11,Dummy,neutral,0.0,0.31011343916639644,0.5,0.00040001869201660155,0.0007989406585693359
12,SVC,ternary,0.48651664191097554,0.6072421882675826,0.5424879784954738,788.2352037906646,65.94250631332397
13,Dummy,ternary,0.0,0.09821178405685849,0.3333333333333333,0.003125429153442383,0.0
14,LogReg,ternary,0.5450030508652499,0.5713306255197373,0.5522837310782898,26.589613676071167,0.2926663875579834
15,SGD,ternary,0.5475143263049251,0.5653888922899141,0.5557047168402002,23.97680583000183,0.03824472427368164
16,Ridge,ternary,0.5484287327035313,0.5695661761830397,0.5563922114975448,8.140964889526368,0.04439778327941894
17,LDA,ternary,0.5481783412053202,0.5680015333668228,0.5534432353009219,54.95874261856079,0.05272941589355469
18,LogReg+SVC,ternary_negneu,0.5136681259290266,0.584814953173605,0.5466875913510961,333.4097382545471,51.44379024505615
19,Ridge+SVC,ternary_negneu,0.5121632481296159,0.5840006585288843,0.5492631916347428,325.65284929275515,51.43798632621765
20,LDA+SVC,ternary_negneu,0.5114183603182603,0.5829845586248633,0.5485336534743832,368.3982424736023,51.4360170841217
21,SGD+SVC,ternary_negneu,0.5092779212620391,0.5790686405202656,0.5484977714781131,336.7061896800995,51.44237494468689
22,SVC+Dummy,ternary_negneu,0.0,0.5361733219040754,0.4737339541170492,448.6648754119873,43.392873477935794
23,LogReg+Dummy,ternary_negneu,0.0,0.5258902263353609,0.48643971732199465,15.45660858154297,0.04524626731872559
24,LogReg+Ridge,ternary_negneu,0.5227888453803875,0.5746291475452114,0.5455201620343735,20.20646743774414,0.08156218528747558
25,SGD+LogReg,ternary_negneu,0.514413023905404,0.5673337962539735,0.5445981642024325,28.925516891479493,0.08935155868530273
26,SGD+Dummy,ternary_negneu,0.0,0.5206458375548332,0.48895254183181525,18.753060007095335,0.04383096694946289
27,Dummy+SVC,ternary_negneu,0.0,0.2344683319332162,0.3605507073886157,317.9569294452667,51.40014281272888
28,Dummy+LDA,ternary_negneu,0.0,0.2265180290228222,0.3573627291314708,34.396686267852786,0.04591846466064453
29,Dummy+Ridge,ternary_negneu,0.0,0.2263000330183257,0.357723311764411,4.753658628463746,0.03791475296020508
30,Dummy+LogReg,ternary_negneu,0.0,0.2248479096556954,0.3557804704562385,10.176256656646729,0.047119426727294925
31,Dummy+SGD,ternary_negneu,0.0,0.22230707647778955,0.35453768071036845,19.638969802856444,0.03944716453552246
32,Ridge+Dummy,ternary_negneu,0.0,0.5256994589584651,0.4902357096746649,7.699719619750977,0.03944234848022461
33,LDA+Dummy,ternary_negneu,0.0,0.5248489341896719,0.48965183650240796,50.445112800598146,0.037473106384277345
34,LDA+LogReg,ternary_negneu,0.5153203944861893,0.5704810361607511,0.5440133728931789,60.6175696849823,0.0829936981201172
35,LDA+LDA,ternary_negneu,0.5158094719279326,0.5736614394190414,0.545735158899432,84.83799929618836,0.08179273605346679
36,SVC+Ridge,ternary_negneu,0.5216500803160691,0.5811806913000409,0.5320904081451951,453.41473426818845,43.429189395904544
37,Ridge+Ridge,ternary_negneu,0.5207062086938055,0.5743223948776031,0.5480022498336303,12.449578475952148,0.07575826644897461
38,LogReg+SGD,ternary_negneu,0.5205206854440891,0.5701337810173868,0.543004488550854,35.09177861213684,0.08309459686279297
39,LDA+Ridge,ternary_negneu,0.5194688144511557,0.5732592574018891,0.5470365896204986,55.19497165679932,0.07378902435302734
40,LogReg+LDA,ternary_negneu,0.519411013731202,0.5749027994887793,0.5441433867462242,49.84949507713318,0.08956589698791503
41,SGD+Ridge,ternary_negneu,0.519081546974849,0.5694926176920132,0.5474750036558393,23.502918863296507,0.0801468849182129
42,Ridge+SGD,ternary_negneu,0.518885474039753,0.5693285894399251,0.5454654547797448,27.33488965034485,0.07729067802429199
43,SGD+LDA,ternary_negneu,0.5156685983486488,0.5696472654157245,0.5460961464812194,53.14594650268555,0.08815059661865235
44,SVC+LDA,ternary_negneu,0.5187472895355657,0.5818800159929913,0.5308304842142108,483.0577619075775,43.43719310760498
45,LogReg+LogReg,ternary_negneu,0.5182286317613848,0.5727595662115437,0.5427041812825395,25.629065465927127,0.09076685905456544
46,SVC+LogReg,ternary_negneu,0.5179964799460798,0.5790663281396026,0.5291908672621524,458.83733229637147,43.43839406967163
47,Dummy+Dummy,ternary_negneu,0.0,0.20480949277389704,0.3333333333333333,0.003799772262573242,0.0015988349914550781
48,Ridge+LDA,ternary_negneu,0.5170675676793954,0.5746816752365521,0.546673618905185,42.092606115341184,0.08376197814941407
49,SVC+SVC,ternary_negneu,0.5168638517715132,0.5989436917856473,0.5387985582063985,766.6180050849914,94.79141745567321
50,Ridge+LogReg,ternary_negneu,0.5164151135529356,0.5716200760989185,0.5449517537058647,17.872176504135133,0.08496294021606446
51,SGD+SGD,ternary_negneu,0.5162290152374738,0.5648442140419353,0.5449245260937627,38.38823003768921,0.08167929649353027
52,SVC+SGD,ternary_negneu,0.5186808057839307,0.5759461902289857,0.5285685689622454,468.30004544258117,43.43072180747986
53,LDA+SGD,ternary_negneu,0.5179363035880294,0.5684192928021725,0.5447222192236209,70.08028283119202,0.07532143592834473
